년월,시군구명,성별코드,가맹점업종명,총결제금액
Mar-19,양주시,F,유통업 영리,7600
Mar-19,양주시,F,일반휴게음식,26200
Apr-19,가평군,F,회원제형태,10000
Apr-19,가평군,F,기타,10450
Apr-19,가평군,F,신변잡화,45500
Apr-19,가평군,F,음료식품,49100
Apr-19,가평군,F,의원,50000
Apr-19,가평군,F,레저업소,66000
Apr-19,가평군,F,문화.취미,79000
Apr-19,가평군,F,보건위생,141600
Apr-19,가평군,F,유통업 영리,167540
Apr-19,가평군,F,연료판매점,174600
Apr-19,가평군,F,유통업 비영리,303530
Apr-19,가평군,F,일반휴게음식,924000
Apr-19,가평군,M,회원제형태,1004
Apr-19,가평군,M,신변잡화,3500
Apr-19,가평군,M,서적문구,8300
Apr-19,가평군,M,문화.취미,10000
Apr-19,가평군,M,의원,12200
Apr-19,가평군,M,약국,18600
Apr-19,가평군,M,레저업소,23700
Apr-19,가평군,M,보건위생,70000
Apr-19,가평군,M,유통업 비영리,83390
Apr-19,가평군,M,자동차정비 유지,100000
Apr-19,가평군,M,음료식품,111100
Apr-19,가평군,M,유통업 영리,292590
Apr-19,가평군,M,연료판매점,359514
Apr-19,가평군,M,일반휴게음식,1365900
Apr-19,고양시 덕양구,F,신변잡화,1450
Apr-19,고양시 덕양구,F,문화.취미,15000
Apr-19,고양시 덕양구,F,약국,22700
Apr-19,고양시 덕양구,F,보건위생,27000
Apr-19,고양시 덕양구,F,유통업 영리,50890
Apr-19,고양시 덕양구,F,의원,73300
Apr-19,고양시 덕양구,F,서적문구,197200
Apr-19,고양시 덕양구,F,음료식품,239280
Apr-19,고양시 덕양구,F,일반휴게음식,565800
Apr-19,고양시 덕양구,M,수리서비스,5000
Apr-19,고양시 덕양구,M,의원,32500
Apr-19,고양시 덕양구,M,신변잡화,35000
Apr-19,고양시 덕양구,M,약국,37800
Apr-19,고양시 덕양구,M,문화.취미,42500
Apr-19,고양시 덕양구,M,기타,49000
Apr-19,고양시 덕양구,M,보건위생,67000
Apr-19,고양시 덕양구,M,음료식품,105420
Apr-19,고양시 덕양구,M,유통업 영리,184010
Apr-19,고양시 덕양구,M,일반휴게음식,1678700
Apr-19,고양시 일산동구,F,보건위생,6000
Apr-19,고양시 일산동구,F,서적문구,10400
Apr-19,고양시 일산동구,F,약국,13000
Apr-19,고양시 일산동구,F,의류,17900
Apr-19,고양시 일산동구,F,유통업 영리,38400
Apr-19,고양시 일산동구,F,신변잡화,49400
Apr-19,고양시 일산동구,F,문화.취미,90000
Apr-19,고양시 일산동구,F,음료식품,92680
Apr-19,고양시 일산동구,F,자동차정비 유지,424000
Apr-19,고양시 일산동구,F,일반휴게음식,655700
Apr-19,고양시 일산동구,M,서적문구,7800
Apr-19,고양시 일산동구,M,신변잡화,10000
Apr-19,고양시 일산동구,M,수리서비스,20200
Apr-19,고양시 일산동구,M,약국,53000
Apr-19,고양시 일산동구,M,유통업 영리,90800
Apr-19,고양시 일산동구,M,학원,120000
Apr-19,고양시 일산동구,M,음료식품,162000
Apr-19,고양시 일산동구,M,일반휴게음식,1226200
Apr-19,고양시 일산서구,F,용역 서비스,9500
Apr-19,고양시 일산서구,F,약국,11700
Apr-19,고양시 일산서구,F,회원제형태,14800
Apr-19,고양시 일산서구,F,레저업소,23900
Apr-19,고양시 일산서구,F,유통업 영리,31600
Apr-19,고양시 일산서구,F,음료식품,82150
Apr-19,고양시 일산서구,F,의류,142000
Apr-19,고양시 일산서구,F,일반휴게음식,442100
Apr-19,고양시 일산서구,M,약국,2200
Apr-19,고양시 일산서구,M,서적문구,6700
Apr-19,고양시 일산서구,M,수리서비스,7000
Apr-19,고양시 일산서구,M,보건위생,10000
Apr-19,고양시 일산서구,M,의원,13300
Apr-19,고양시 일산서구,M,레져용품,17100
Apr-19,고양시 일산서구,M,의류,30000
Apr-19,고양시 일산서구,M,음료식품,45690
Apr-19,고양시 일산서구,M,레저업소,62000
Apr-19,고양시 일산서구,M,기타의료기관,65000
Apr-19,고양시 일산서구,M,유통업 영리,73150
Apr-19,고양시 일산서구,M,일반휴게음식,1544600
Apr-19,과천시,F,레져용품,2000
Apr-19,과천시,F,주방용구,5000
Apr-19,과천시,F,서적문구,9000
Apr-19,과천시,F,사무통신,10000
Apr-19,과천시,F,의원,16100
Apr-19,과천시,F,유통업 영리,49310
Apr-19,과천시,F,보건위생,63000
Apr-19,과천시,F,수리서비스,107010
Apr-19,과천시,F,음료식품,210900
Apr-19,과천시,F,신변잡화,270000
Apr-19,과천시,F,학원,300000
Apr-19,과천시,F,건강식품,370000
Apr-19,과천시,F,의류,477000
Apr-19,과천시,F,일반휴게음식,1014230
Apr-19,과천시,F,레저업소,1040500
Apr-19,과천시,M,문화.취미,15000
Apr-19,과천시,M,신변잡화,15000
Apr-19,과천시,M,약국,17600
Apr-19,과천시,M,유통업 영리,19500
Apr-19,과천시,M,레저업소,21000
Apr-19,과천시,M,의류,30000
Apr-19,과천시,M,음료식품,75000
Apr-19,과천시,M,의원,75300
Apr-19,과천시,M,보건위생,108000
Apr-19,과천시,M,일반휴게음식,996000
Apr-19,광명시,F,주방용구,5000
Apr-19,광명시,F,건축자재,11000
Apr-19,광명시,F,자동차정비 유지,11500
Apr-19,광명시,F,건강식품,13000
Apr-19,광명시,F,가구,13000
Apr-19,광명시,F,광학제품,33000
Apr-19,광명시,F,기타의료기관,138200
Apr-19,광명시,F,용역 서비스,156000
Apr-19,광명시,F,문화.취미,294000
Apr-19,광명시,F,서적문구,298450
Apr-19,광명시,F,신변잡화,311300
Apr-19,광명시,F,레저업소,324000
Apr-19,광명시,F,회원제형태,478700
Apr-19,광명시,F,약국,530990
Apr-19,광명시,F,레져용품,642000
Apr-19,광명시,F,수리서비스,655490
Apr-19,광명시,F,의류,957800
Apr-19,광명시,F,의원,2177800
Apr-19,광명시,F,보건위생,4280640
Apr-19,광명시,F,학원,4932000
Apr-19,광명시,F,유통업 영리,5347594
Apr-19,광명시,F,음료식품,6718360
Apr-19,광명시,F,일반휴게음식,20361100
Apr-19,광명시,M,건축자재,7700
Apr-19,광명시,M,기타의료기관,8570
Apr-19,광명시,M,가구,15500
Apr-19,광명시,M,건강식품,18000
Apr-19,광명시,M,주방용구,111800
Apr-19,광명시,M,서적문구,113800
Apr-19,광명시,M,레져용품,128000
Apr-19,광명시,M,의류,159000
Apr-19,광명시,M,기타,165000
Apr-19,광명시,M,신변잡화,235700
Apr-19,광명시,M,자동차정비 유지,256800
Apr-19,광명시,M,문화.취미,282500
Apr-19,광명시,M,약국,329570
Apr-19,광명시,M,수리서비스,407120
Apr-19,광명시,M,의원,443400
Apr-19,광명시,M,레저업소,763600
Apr-19,광명시,M,보건위생,1440200
Apr-19,광명시,M,회원제형태,1567200
Apr-19,광명시,M,학원,2758000
Apr-19,광명시,M,음료식품,3636560
Apr-19,광명시,M,유통업 영리,3751150
Apr-19,광명시,M,일반휴게음식,23185040
Apr-19,광주시,F,신변잡화,11500
Apr-19,광주시,F,서적문구,15000
Apr-19,광주시,F,가구,20500
Apr-19,광주시,F,용역 서비스,30000
Apr-19,광주시,F,의류,30000
Apr-19,광주시,F,자동차정비 유지,36100
Apr-19,광주시,F,문화.취미,76000
Apr-19,광주시,F,레져용품,104300
Apr-19,광주시,F,수리서비스,123620
Apr-19,광주시,F,약국,165100
Apr-19,광주시,F,보건위생,192000
Apr-19,광주시,F,주방용구,200000
Apr-19,광주시,F,의원,348500
Apr-19,광주시,F,유통업 영리,516340
Apr-19,광주시,F,학원,655000
Apr-19,광주시,F,음료식품,1677420
Apr-19,광주시,F,일반휴게음식,3017900
Apr-19,광주시,M,사무통신,4500
Apr-19,광주시,M,건축자재,8000
Apr-19,광주시,M,기타,21000
Apr-19,광주시,M,서적문구,32000
Apr-19,광주시,M,신변잡화,33000
Apr-19,광주시,M,연료판매점,50000
Apr-19,광주시,M,주방용구,50000
Apr-19,광주시,M,기타의료기관,50200
Apr-19,광주시,M,레져용품,55900
Apr-19,광주시,M,약국,56200
Apr-19,광주시,M,자동차정비 유지,60000
Apr-19,광주시,M,레저업소,72200
Apr-19,광주시,M,가구,86000
Apr-19,광주시,M,수리서비스,121240
Apr-19,광주시,M,문화.취미,130840
Apr-19,광주시,M,의원,147410
Apr-19,광주시,M,보건위생,222100
Apr-19,광주시,M,의류,249500
Apr-19,광주시,M,회원제형태,354000
Apr-19,광주시,M,음료식품,588950
Apr-19,광주시,M,유통업 영리,1300390
Apr-19,광주시,M,일반휴게음식,6058718
Apr-19,구리시,M,보건위생,40000
Apr-19,군포시,F,여행,3700
Apr-19,군포시,F,가구,6000
Apr-19,군포시,F,사무통신,12200
Apr-19,군포시,F,주방용구,20000
Apr-19,군포시,F,직물,22000
Apr-19,군포시,F,기타,54000
Apr-19,군포시,F,광학제품,82000
Apr-19,군포시,F,건강식품,222300
Apr-19,군포시,F,문화.취미,321800
Apr-19,군포시,F,용역 서비스,378900
Apr-19,군포시,F,자동차정비 유지,492200
Apr-19,군포시,F,기타의료기관,720060
Apr-19,군포시,F,서적문구,750170
Apr-19,군포시,F,수리서비스,815190
Apr-19,군포시,F,신변잡화,984750
Apr-19,군포시,F,레져용품,1067000
Apr-19,군포시,F,유통업 비영리,1225990
Apr-19,군포시,F,회원제형태,1296800
Apr-19,군포시,F,병원,1538110
Apr-19,군포시,F,건축자재,1662600
Apr-19,군포시,F,레저업소,1676600
Apr-19,군포시,F,연료판매점,2132425
Apr-19,군포시,F,약국,2276020
Apr-19,군포시,F,의류,3152200
Apr-19,군포시,F,보건위생,5667800
Apr-19,군포시,F,의원,6076705
Apr-19,군포시,F,유통업 영리,9263708
Apr-19,군포시,F,음료식품,9317260
Apr-19,군포시,F,학원,10416600
Apr-19,군포시,F,일반휴게음식,38531940
Apr-19,군포시,M,가구,12000
Apr-19,군포시,M,기타,57500
Apr-19,군포시,M,광학제품,133600
Apr-19,군포시,M,사무통신,151000
Apr-19,군포시,M,용역 서비스,178135
Apr-19,군포시,M,수리서비스,329740
Apr-19,군포시,M,자동차정비 유지,372500
Apr-19,군포시,M,문화.취미,417500
Apr-19,군포시,M,기타의료기관,442140
Apr-19,군포시,M,레져용품,489000
Apr-19,군포시,M,유통업 비영리,622610
Apr-19,군포시,M,신변잡화,655500
Apr-19,군포시,M,건강식품,662000
Apr-19,군포시,M,서적문구,910680
Apr-19,군포시,M,의류,988900
Apr-19,군포시,M,병원,1039050
Apr-19,군포시,M,레저업소,1269401
Apr-19,군포시,M,회원제형태,1272600
Apr-19,군포시,M,건축자재,1763000
Apr-19,군포시,M,연료판매점,2078792
Apr-19,군포시,M,약국,2115950
Apr-19,군포시,M,보건위생,2718400
Apr-19,군포시,M,의원,3728572
Apr-19,군포시,M,음료식품,6412050
Apr-19,군포시,M,유통업 영리,6617630
Apr-19,군포시,M,학원,8829000
Apr-19,군포시,M,일반휴게음식,32700600
